"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000850","01","1","01","01","3","00000","99","9","999999","12","010","0000206",1228,"4","1"
"0000853","05","1","02","01","3","00000","99","9","999999","12","010","0000206",1228,"4","1"
"0000854","02","1","01","01","3","00500","99","9","001000","00","010","0000207",1024,"4","1"
"0000856","04","1","01","01","7","00000","99","9","008000","12","010","0000207",1024,"4","1"
"0000857","05","1","02","01","3","00100","99","9","000400","00","010","0000207",1024,"4","1"
"0000860","05","1","02","01","3","00500","99","9","003000","00","010","0000208",1051,"4","1"
"0000866","01","1","02","01","3","00600","99","9","008000","00","010","0000210",1208,"4","1"
"0000867","02","1","01","01","3","00500","40","0","000600","00","010","0000210",1208,"4","1"
"0000870","02","1","02","01","3","01500","99","9","020000","00","008","0000211",2159,"2","1"
"0000873","02","1","01","01","3","00700","99","9","005000","02","008","0000212",2678,"2","1"
"0000873","02","1","02","01","3","00380","99","9","002000","03","008","0000212",2678,"2","1"
"0000880","01","1","02","01","3","04600","99","9","005000","02","010","0000214",1286,"4","1"
"0000887","04","1","01","01","3","00500","99","9","005000","01","010","0000215",1235,"4","1"
"0000897","03","1","02","01","7","01200","99","9","999999","00","008","0000218",2447,"1","1"
"0000898","04","1","01","01","3","00500","99","9","004500","00","008","0000218",2447,"1","1"
"0000898","04","1","02","01","3","01000","99","9","004000","00","008","0000218",2447,"1","1"
"0000905","05","1","02","01","3","02000","03","5","006000","00","009","0000220",1768,"3","1"
"0000915","01","1","01","01","3","03200","65","0","003200","00","009","0000224",2006,"3","1"
"0000917","03","1","02","01","3","00130","99","9","000300","00","009","0000224",2006,"3","1"
"0000928","03","1","01","01","3","00000","99","9","999999","05","018","0000227",2884,"2","2"
"0000928","03","1","02","01","3","00000","10","0","002000","12","018","0000227",2884,"2","2"
"0000930","07","1","01","01","3","01000","99","9","002000","01","018","0000227",2884,"2","2"
"0000930","07","1","02","01","3","00500","99","9","999999","10","018","0000227",2884,"2","2"
"0000932","09","1","02","01","3","00000","10","0","000000","00","018","0000227",2884,"2","2"
"0000935","14","1","02","01","3","00365","99","0","001700","02","018","0000227",2884,"2","2"
"0000936","15","1","01","01","3","02000","99","0","000370","02","018","0000227",2884,"2","2"
