"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000330","02","1","02","","01","003","0000093",384,"4","1"
"0000331","03","1","02","","02","003","0000093",384,"4","1"
"0000332","04","1","02","","01","003","0000093",384,"4","1"
"0000333","05","1","02","","01","003","0000093",384,"4","1"
"0000334","01","1","02","","02","003","0000094",468,"4","1"
"0000335","02","1","03","","02","003","0000094",468,"4","1"
"0000336","04","1","01","","01","003","0000094",468,"4","1"
"0000337","05","1","01","","01","003","0000094",468,"4","1"
"0000338","02","1","01","","01","003","0000095",429,"4","1"
"0000339","03","1","02","","02","003","0000095",429,"4","1"
"0000340","04","1","02","","02","003","0000095",429,"4","1"
"0000341","05","1","01","","01","003","0000095",429,"4","1"
"0000342","01","1","01","","01","003","0000096",465,"4","1"
"0000343","02","1","02","","02","003","0000096",465,"4","1"
"0000344","03","1","02","","01","003","0000096",465,"4","1"
"0000345","04","1","01","","01","003","0000096",465,"4","1"
"0000346","05","1","01","","01","003","0000096",465,"4","1"
"0000347","01","1","01","","01","003","0000097",396,"4","1"
"0000348","02","1","01","","01","003","0000097",396,"4","1"
"0000349","03","1","02","","02","003","0000097",396,"4","1"
"0000350","04","1","02","","02","003","0000097",396,"4","1"
"0000351","05","1","02","","02","003","0000097",396,"4","1"
"0000352","01","1","02","","02","003","0000098",432,"4","1"
"0000353","03","1","02","","02","003","0000098",432,"4","1"
"0000354","04","1","01","","01","003","0000098",432,"4","1"
"0000355","02","1","02","","02","001","0000099",1126,"2","1"
"0000356","03","1","01","","01","001","0000099",1126,"2","1"
"0000357","04","1","01","","01","001","0000099",1126,"2","1"
"0000358","05","1","02","","02","001","0000099",1126,"2","1"
"0000359","01","1","01","","01","003","0000100",453,"4","1"
"0000360","02","1","01","","01","003","0000100",453,"4","1"
"0000361","03","1","01","","01","003","0000100",453,"4","1"
"0000362","04","1","01","","01","003","0000100",453,"4","1"
"0000363","05","1","02","","01","003","0000100",453,"4","1"
"0000364","02","1","01","","01","001","0000101",1115,"2","1"
"0000365","03","1","01","","01","001","0000101",1115,"2","1"
"0000366","04","1","02","","01","001","0000101",1115,"2","1"
"0000367","05","1","01","","01","001","0000101",1115,"2","1"
"0000368","01","1","02","","01","001","0000102",1026,"2","1"
"0000369","03","1","01","","01","001","0000102",1026,"2","1"
"0000370","04","1","01","","02","001","0000102",1026,"2","1"
"0000371","05","1","02","","01","001","0000102",1026,"2","1"
"0000372","01","1","02","","02","006","0000103",576,"2","2"
"0000373","03","1","02","","02","006","0000103",576,"2","2"
"0000374","04","1","02","","01","006","0000103",576,"2","2"
"0000375","05","1","01","","01","006","0000103",576,"2","2"
"0000376","06","1","01","","01","006","0000103",576,"2","2"
"0000377","07","1","01","","02","006","0000103",576,"2","2"
"0000378","08","1","01","","01","006","0000103",576,"2","2"
"0000379","09","1","02","","02","006","0000103",576,"2","2"
"0000380","10","1","01","","01","006","0000103",576,"2","2"
"0000381","13","1","02","","01","006","0000103",576,"2","2"
"0000382","14","1","02","","01","006","0000103",576,"2","2"
"0000383","15","1","02","","02","006","0000103",576,"2","2"
"0000384","17","1","01","","01","006","0000103",576,"2","2"
"0000385","18","1","01","","01","006","0000103",576,"2","2"
"0000386","19","1","01","","01","006","0000103",576,"2","2"
"0000387","20","1","01","","01","006","0000103",576,"2","2"
"0000388","01","1","02","","02","004","0000104",1265,"2","2"
"0000389","03","1","01","","01","004","0000104",1265,"2","2"
"0000390","05","1","01","","01","004","0000104",1265,"2","2"
"0000391","02","1","02","","01","004","0000105",1248,"2","2"
"0000392","03","1","01","1","01","004","0000105",1248,"2","2"
"0000392","03","2","05","2","","004","0000105",1248,"2","2"
"0000393","04","1","01","","01","004","0000105",1248,"2","2"
"0000394","01","1","01","","01","005","0000106",1928,"3","2"
"0000395","03","1","01","","01","005","0000106",1928,"3","2"
"0000396","05","1","01","","01","005","0000106",1928,"3","2"
"0000397","01","1","02","","02","006","0000107",547,"2","2"
"0000398","02","1","02","","02","006","0000107",547,"2","2"
"0000399","03","1","01","","01","006","0000107",547,"2","2"
"0000400","04","1","01","","01","006","0000107",547,"2","2"
"0000401","06","1","01","","02","006","0000107",547,"2","2"
"0000402","08","1","01","","01","006","0000107",547,"2","2"
"0000403","09","1","01","","01","006","0000107",547,"2","2"
"0000404","10","1","01","","01","006","0000107",547,"2","2"
"0000405","12","1","01","","01","006","0000107",547,"2","2"
"0000406","13","1","04","","02","006","0000107",547,"2","2"
"0000407","14","1","01","","01","006","0000107",547,"2","2"
"0000408","16","1","01","","01","006","0000107",547,"2","2"
"0000409","17","1","02","","02","006","0000107",547,"2","2"
"0000410","18","1","03","","01","006","0000107",547,"2","2"
"0000411","19","1","02","","01","006","0000107",547,"2","2"
"0000412","20","1","01","","01","006","0000107",547,"2","2"
"0000413","01","1","01","","01","006","0000108",521,"3","2"
"0000414","02","1","01","","01","006","0000108",521,"3","2"
"0000415","03","1","02","","02","006","0000108",521,"3","2"
"0000416","04","1","01","","01","006","0000108",521,"3","2"
"0000417","05","1","01","","01","006","0000108",521,"3","2"
"0000418","06","1","02","","02","006","0000108",521,"3","2"
"0000419","08","1","02","","02","006","0000108",521,"3","2"
"0000420","09","1","02","","01","006","0000108",521,"3","2"
"0000421","11","1","06","","01","006","0000108",521,"3","2"
"0000422","12","1","01","","01","006","0000108",521,"3","2"
"0000423","13","1","02","","01","006","0000108",521,"3","2"
"0000424","14","1","02","","02","006","0000108",521,"3","2"
"0000425","16","1","03","","02","006","0000108",521,"3","2"
"0000426","17","1","02","","02","006","0000108",521,"3","2"
"0000427","19","1","02","","01","006","0000108",521,"3","2"
"0000428","20","1","01","","01","006","0000108",521,"3","2"
"0000429","01","1","04","","02","005","0000109",2224,"3","3"
"0000430","03","1","01","","01","005","0000109",2224,"3","3"
"0000431","01","1","01","","01","006","0000110",1405,"2","3"
"0000432","02","1","02","","02","006","0000110",1405,"2","3"
"0000433","04","1","02","","01","006","0000110",1405,"2","3"
"0000434","05","1","03","","02","006","0000110",1405,"2","3"
"0000435","06","1","01","","01","006","0000110",1405,"2","3"
"0000436","07","1","02","","02","006","0000110",1405,"2","3"
"0000437","08","1","01","","01","006","0000110",1405,"2","3"
"0000438","09","1","02","","02","006","0000110",1405,"2","3"
"0000439","10","1","01","","01","006","0000110",1405,"2","3"
"0000440","11","1","02","","02","006","0000110",1405,"2","3"
"0000441","12","1","02","","01","006","0000110",1405,"2","3"
"0000442","13","1","01","","01","006","0000110",1405,"2","3"
"0000443","14","1","01","","01","006","0000110",1405,"2","3"
"0000444","15","1","03","","01","006","0000110",1405,"2","3"
"0000445","17","1","01","","01","006","0000110",1405,"2","3"
"0000446","18","1","01","","01","006","0000110",1405,"2","3"
"0000447","19","1","02","","02","006","0000110",1405,"2","3"
"0000448","01","1","02","","02","007","0000111",753,"2","4"
"0000449","02","1","02","","02","007","0000111",753,"2","4"
